skv,X,Y,Z,H,Ip,Il,W,r,rs,e,WL,Wp,jn,E12mk.w,jw,rd,d0.3,cluster,qname
-11,465228.78316600004,90122.3384584,33.55,2.0,23.7,0.06,25.56,2.02,2.74,0.703,47.81,24.11,,,,1.61,,Q,pH
-56,472066.16613160004,90087.0060368,24.8,2.0,13.24,0.06,21.63,1.84,2.71,0.7909999999999999,34.08,20.84,,,,1.51,,Q,L.epIII-H
-6,464826.26037040004,89995.11952319999,33.0,5.0,30.57,0.06,26.06,2.02,2.76,0.722,54.75,24.18,,,,1.6,,Q,edH
_ˆ-21,465410.5123765,90132.0177672,29.93,3.2,19.98,0.06,24.47,2.01,2.73,0.691,43.16,23.18,,,,1.61,,Q,pH
27?,465145.55519977,90110.90865624,26.5,9.9,24.61,0.07,26.5,2.01,2.75,0.731,49.44,24.83,,,,1.59,,Q,L.epI
36,463719.4876693,89487.51392399998,51.45,7.5,15.82,0.07,21.9,1.91,2.71,0.73,36.55,20.73,,,,1.57,,Q,edH
47,465288.1559158,90114.9879656,37.7,2.0,21.99,0.07,25.19,1.93,2.73,0.7709999999999999,45.58,23.59,,,,1.54,,Q,edH
47,465288.1559158,90114.9879656,35.7,4.0,27.95,0.07,27.48,2.01,2.78,0.763,53.51,25.56,,,,1.58,,N,edH
47,465288.1559158,90114.9879656,33.7,6.0,22.14,0.07,29.45,1.98,2.78,0.818,49.95,27.81,,,,1.53,,Q,edH
??7,471879.663553,90333.77755199999,18.95,8.3,9.61,0.07,20.1,1.72,2.69,0.878,29.03,19.42,,,,1.43,,Q,L.epI
?ˆ22,466245.1693486,90192.9082752,33.9,3.0,18.44,0.07,23.85,1.85,2.72,0.821,40.92,22.48,,,,1.49,,Q,L.epI
?ˆ23,466246.3280059,90203.92999919999,30.76,4.5,23.71,0.07,25.78,2.0,2.74,0.723,47.83,24.12,,,,1.59,,Q,L.epI
-18,466257.16088920005,90191.7385136,31.5,2.0,20.25,0.07,24.16,2.02,2.73,0.6779999999999999,42.99,22.74,,,,1.63,,Q,L.epI
-58,464238.5511409,89810.9690672,56.8,3.0,33.78,0.07,38.03,1.87,2.78,1.052,69.3,35.52,,,,1.35,,N,edH
25?,465259.4407132001,90122.899248,31.5,4.0,13.65,0.08,20.96,1.97,2.71,0.664,33.49,19.84,,,,1.63,,Q,pH
31?,464862.3077363801,89954.44333883999,38.5,2.5,22.42,0.08,25.35,1.99,2.75,0.732,45.96,23.54,,,,1.59,,Q,pH
??11,471932.9692882,90286.665872,39.45,4.3,31.0,0.08,29.15,,2.75,,57.68,26.68,,,,,,,edH
?ˆ22,466245.1693486,90192.9082752,35.4,1.5,18.5,0.08,23.88,2.0,2.72,0.685,40.86,22.36,,,,1.61,,Q,L.epI
?ˆ23,466246.3280059,90203.92999919999,33.76,1.5,17.14,0.08,22.45,2.0,2.72,0.665,38.16,21.02,,,,1.63,,Q,L.epI
-4,471903.04668220005,90325.9853872,-0.45,31.0,18.53,0.08,24.17,1.77,2.73,0.915,41.2,22.67,,,,1.43,,Q,L.epI
_ˆ-11,464961.5982925,90064.70026239999,19.6,15.7,26.32,0.08,27.17,2.02,2.8,0.763,51.38,25.06,,,,1.59,,N,pH
_ˆ-7,466190.41997890006,90185.23924319999,32.2,4.7,25.88,0.08,26.64,2.02,2.78,0.743,50.5,24.62,,,,1.6,,Q,pH
-21,466471.68497590005,90195.7041928,43.1,0.7,19.58,0.08,24.34,1.96,2.73,0.732,42.34,22.76,,,,1.58,,Q,L.epI
-22,466953.5889205,90243.857148,38.9,4.0,22.77,0.08,24.08,2.04,2.73,0.66,44.92,22.15,,,,1.64,,Q,L.epI
_ˆ-6,469467.03532870003,90247.84290319998,25.53,8.6,19.08,0.08,24.28,1.99,2.72,0.6990000000000001,41.77,22.69,,,,1.6,,Q,L.epII
3,472435.24160320003,89864.59607839999,18.75,1.4,22.54,0.09,25.56,,,,46.13,23.59,,,,,,,L.epIII-H
15?,467860.33387510007,90265.3572056,32.4,5.2,11.66,0.09,20.28,2.05,2.71,0.59,30.89,19.23,,,,1.7,,Q,L.epI
30?,464938.0340527901,90049.198726224,24.9,8.6,24.47,0.09,27.01,1.95,2.75,0.7909999999999999,49.25,24.78,,,,1.54,,Q,L.epI
??26,472098.30106060003,90111.215016,24.55,4.2,12.17,0.09,21.45,2.06,2.71,0.598,32.53,20.36,,,,1.7,,Q,
?ˆ-20,472183.726726,90044.6711064,22.62,2.0,10.87,0.09,21.24,1.95,2.7,0.679,31.08,20.21,,,,1.61,,Q,L.epIII-H
-35,463432.6168708,89346.15746959999,6.8,39.5,19.7,0.09,24.67,1.98,2.72,0.713,42.56,22.86,,,,1.59,,Q,L.epIII-H
_ˆ-12,464989.75853950006,90065.90616079999,28.33,7.0,22.39,0.09,20.7,2.13,2.8,0.5870000000000001,41.17,18.78,,,,1.76,,Q,pH
_ˆ-16,464077.0365631,89691.29603119999,29.3,29.7,21.07,0.09,35.58,1.88,2.73,0.9690000000000001,54.79,33.72,,,,1.39,,N,edH
-13,465404.0291452,90137.64306239999,32.0,0.5,18.66,0.09,24.25,1.86,2.72,0.8170000000000001,41.22,22.56,,,,1.5,,Q,pH
32?,464836.14795433,89995.592406688,33.3,5.6,15.96,0.1,22.83,1.98,2.71,0.6809999999999999,37.25,21.29,,,,1.61,,Q,edH
?ˆ4,471823.72552840004,90201.3468872,67.0,2.5,47.69,0.1,36.39,1.77,2.75,1.119,79.33,31.64,,,,1.3,,N,edH
??25,472082.4660775,90112.06088479998,26.4,3.5,14.6,0.1,21.69,1.98,2.71,0.6659999999999999,34.83,20.23,,,,1.63,,Q,
?ˆ-14,471856.3929148001,90018.19487759999,36.65,2.0,26.51,0.1,34.71,1.84,2.75,1.013,58.63,32.12,,,,1.37,,N,L.epI
?ˆ2,472021.8221794,90233.27709599999,29.3,4.0,10.62,0.1,21.25,1.97,2.7,0.662,30.83,20.21,,,,1.62,,Q,
-24,471907.2388468,90343.8583808,-10.89,32.9,10.79,0.1,20.06,2.03,2.7,0.597,29.75,18.96,,,,1.69,,Q,L.epII
-8,471909.3199303,90317.7783184,-8.0,42.0,14.65,0.1,23.9,1.96,2.71,0.713,37.02,22.37,,,,1.58,,Q,L.epI
_ˆ-18,464092.59406840004,89696.72725839999,27.6,34.7,23.09,0.1,33.81,1.92,2.79,0.9440000000000001,54.64,31.55,,,,1.43,,N,edH
_ˆ-2,467416.133164,90287.9145992,25.88,6.0,23.41,0.1,25.82,2.03,2.78,0.723,46.89,23.48,,,,1.61,,Q,pH
_ˆ-2,467416.133164,90287.9145992,17.88,14.0,23.22,0.1,25.93,2.03,2.79,0.731,46.91,23.69,,,,1.61,,Q,pH
-10,465142.57981282,90112.72379431999,32.3,4.0,25.46,0.1,27.27,2.0,2.78,0.769,50.29,24.83,,,,1.57,,Q,L.epI
-27,467874.6877267001,90272.431988,34.05,2.0,20.63,0.1,25.68,1.99,2.73,0.7240000000000001,44.17,23.54,,,,1.58,,Q,L.epI
?-21,472496.16672880005,89881.8293168,19.4,2.0,27.18,0.1,27.92,,2.75,,52.39,25.21,,,,,,,L.epIII-H
18,472089.8379877,90266.03577439999,25.92,4.2,12.96,0.11,21.3,2.06,2.71,0.596,32.8,19.84,,,,1.7,,Q,
41,463282.1714074,89356.745552,26.28,16.0,8.92,0.11,18.12,1.86,2.69,0.708,26.1,17.18,,18.45761122,,1.57,,Q,L.epIII-H
?ˆ1,472001.5475515,90253.2272864,29.6,3.5,24.53,0.11,27.98,,2.75,,49.89,25.36,,,,,,,
?ˆ2,472021.8221794,90233.27709599999,31.3,2.0,11.9,0.11,20.24,1.62,2.7,1.004,30.87,18.97,,,,1.35,,Q,
_-2,472041.0843883,90104.9218592,26.9,5.1,32.77,0.11,33.02,1.88,2.75,0.946,62.09,29.32,,,,1.41,,N,
_ˆ-3,467425.04620090005,90289.15797279999,13.49,13.6,26.95,0.11,27.79,1.94,2.75,0.8109999999999999,51.86,24.91,,,,1.52,,Q,pH
_ˆ-4,467433.98923540005,90289.13789679999,5.11,21.0,18.15,0.11,23.91,2.05,2.78,0.68,40.09,21.94,,,,1.65,,Q,pH
-13,465404.0291452,90137.64306239999,30.5,2.0,14.62,0.11,22.68,2.05,2.71,0.622,35.75,21.13,,,,1.67,,Q,pH
-38,471279.21659260005,90397.5871104,16.6,0.6,21.43,0.11,24.5,2.02,2.73,0.6829999999999999,43.56,22.13,,,,1.62,,Q,L.epII
11?,463872.81665200007,89622.0739832,49.75,11.9,41.85,0.12,34.98,1.8,2.78,1.085,71.69,29.84,,,,1.33,,N,edH
14?,467864.56728640007,90269.5731656,28.3,8.6,12.32,0.12,21.27,2.06,2.7,0.589,32.16,19.84,,,,1.7,,Q,L.epI
28?,465043.00202968006,90089.24350699999,29.95,2.0,25.84,0.12,27.72,2.0,2.77,0.769,50.58,24.74,,,,1.57,,Q,L.epI
?ˆ25,473089.1442868,90276.04834479999,17.36,1.8,29.24,0.12,29.28,2.01,2.75,0.769,54.88,25.64,,,,1.55,,Q,
??24,472052.8059505,90113.63350479999,28.7,4.6,14.17,0.12,22.73,2.14,2.71,0.5539999999999999,35.25,21.08,,,,1.74,,Q,
?ˆ13,464200.43169070006,89835.1874152,52.59,3.0,20.21,0.12,25.18,1.96,2.72,0.737,42.99,22.78,,,,1.57,,Q,edH
?ˆ15,464270.9335501001,89805.99824959999,61.4,1.0,27.41,0.12,31.72,1.49,2.75,1.431,55.97,28.56,,,,1.13,,N,edH
?ˆ23,466246.3280059,90203.92999919999,31.76,3.5,21.53,0.12,26.18,1.89,2.73,0.823,45.09,23.56,,,,1.5,,Q,L.epI
_-5,472019.3511271,90061.57911359999,27.6,2.0,18.31,0.12,25.34,1.95,2.72,0.748,41.47,23.16,,,,1.56,,Q,L.epIII-H
_ˆ-4,467433.98923540005,90289.13789679999,2.91,23.2,13.12,0.12,22.21,2.06,2.71,0.608,33.8,20.68,,,,1.69,,Q,pH
_ˆ-5,467442.80478010006,90287.85303279999,6.25,23.5,20.58,0.12,24.9,2.03,2.74,0.6859999999999999,43.04,22.46,,,,1.63,,Q,pH
-28,467872.43415700004,90269.91178079999,32.6,4.0,13.14,0.12,22.0,2.04,2.71,0.621,33.55,20.41,,,,1.67,,Q,L.epI
-5,464823.31685590005,89912.201628,42.71,2.0,17.14,0.12,23.72,1.87,2.72,0.8,38.73,21.59,,,,1.51,,Q,edH
?ˆ-1,464313.4888954001,89814.63628319999,61.9,2.8,31.04,0.13,29.68,1.83,2.76,0.956,56.68,25.64,,,,1.41,,N,edH
-20,472011.83672829997,90251.1902416,30.2,2.0,12.89,0.13,21.41,1.85,2.71,0.778,32.61,19.72,,,,1.52,,Q,
_ˆ-7,466190.41997890006,90185.23924319999,14.5,22.4,23.26,0.13,26.72,1.93,2.74,0.799,46.87,23.61,,,,1.52,,Q,pH
-2,464049.89623450005,89700.95124879999,55.2,5.0,23.14,0.13,33.34,1.9,2.74,0.9229999999999999,53.47,30.33,,,,1.42,,N,edH
-23,466953.27019600006,90241.5390392,38.6,5.0,26.38,0.13,28.48,1.96,2.75,0.8029999999999999,51.49,25.11,,,,1.53,,Q,L.epI
-28,467872.43415700004,90269.91178079999,34.6,2.0,23.97,0.13,25.57,1.95,2.74,0.764,46.38,22.41,,,,1.55,,Q,L.epI
-56,472066.16613160004,90087.0060368,26.1,0.7,24.17,0.13,24.55,1.86,2.74,0.835,45.49,21.32,,,,1.49,,Q,L.epIII-H
?-24,472847.89608820004,89881.04099919999,19.0,1.8,15.65,0.13,22.86,,2.71,,36.54,20.89,,,,,,,L.epIII-H
11?,468610.95557056007,90258.85092198399,38.0,8.5,18.87,0.14,25.66,1.97,2.72,0.735,41.98,23.11,,,,1.57,,Q,L.epI
13?,468200.90262742,90266.883035136,34.1,8.2,16.52,0.14,22.56,2.03,2.71,0.636,36.76,20.24,,,,1.66,,Q,L.epI
48,465246.8154733,90114.83404959999,35.9,4.0,25.76,0.14,28.81,1.98,2.75,0.789,51.08,25.32,,,,1.54,,Q,pH
?ˆ12,472159.5186628,90283.6116432,29.2,1.8,44.92,0.14,37.36,1.74,2.75,1.171,75.88,30.96,,,,1.27,,N,
??11,471932.9692882,90286.665872,40.85,2.9,27.76,0.14,30.0,1.85,2.75,0.932,53.87,26.11,,,,1.42,,N,edH
_-1,472053.387154,90120.1394672,28.45,5.5,14.74,0.14,23.04,1.99,2.71,0.6759999999999999,35.67,20.93,,,,1.62,,Q,
_ˆ-12,464989.75853950006,90065.90616079999,24.63,10.7,41.95,0.14,29.36,1.99,2.81,0.8270000000000001,65.52,23.57,,,,1.54,,N,pH
_ˆ-16,464077.0365631,89691.29603119999,14.0,45.0,25.44,0.14,29.04,1.87,2.75,0.898,50.8,25.36,,,,1.45,,N,edH
-4,464735.8926004001,89868.5617576,47.6,3.0,29.51,0.14,30.57,1.96,2.78,0.852,55.82,26.31,,,,1.5,,N,edH
_ˆ-7,468394.39989640005,90270.825908,31.4,12.0,7.49,0.14,19.72,2.09,2.68,0.535,26.13,18.64,,,,1.75,,Q,L.epI
?-22,472621.7404321,89882.32452479999,19.28,2.0,32.02,0.14,26.82,,2.75,,54.41,22.39,,,,,,,L.epIII-H
10?,468612.2049706,90254.32343599999,42.6,4.0,19.39,0.15,25.97,1.89,2.72,0.813,42.53,23.14,,,,1.5,,Q,L.epI
?ˆ-1,464313.4888954001,89814.63628319999,59.5,5.2,29.22,0.15,39.85,1.73,2.75,1.2229999999999999,64.57,35.35,,,,1.24,,N,edH
?ˆ5,472042.53552220005,90117.1267288,30.5,4.0,22.51,0.15,26.77,1.99,2.73,0.7390000000000001,45.87,23.36,,,,1.57,,Q,
_ˆ-10,466207.9685749,90183.997208,20.8,15.2,17.35,0.15,24.5,2.05,2.76,0.6759999999999999,39.27,21.92,,,,1.65,,Q,pH
_ˆ-7,466190.41997890006,90185.23924319999,16.5,20.4,17.45,0.15,24.65,2.05,2.76,0.6779999999999999,39.56,22.11,,,,1.64,,Q,pH
-23,466953.27019600006,90241.5390392,40.6,3.0,20.93,0.15,24.86,1.98,2.73,0.722,42.67,21.74,,,,1.59,,Q,L.epI
-27,467874.6877267001,90272.431988,32.05,4.0,20.04,0.15,24.04,1.91,2.73,0.773,41.16,21.12,,,,1.54,,Q,L.epI
10?,468612.2049706,90254.32343599999,38.1,8.5,19.34,0.16,26.92,1.94,2.72,0.779,43.16,23.82,,,,1.53,,Q,L.epI
21?,465964.8380269,90176.11056554399,34.6,0.7,18.26,0.16,25.43,1.89,2.73,0.812,40.82,22.56,,,,1.51,,Q,L.epI
?ˆ-9,471841.75783570006,90319.4084896,26.3,8.2,13.37,0.16,21.87,1.83,2.7,0.7979999999999999,33.1,19.73,,,,1.5,,Q,L.epI
?ˆ7,471992.46952780004,90038.8999256,27.0,5.0,12.6,0.16,22.9,2.07,2.72,0.615,33.47,20.87,,,,1.68,,Q,L.epIII-H
_-3,472098.9760066,90117.5215568,24.8,5.0,12.01,0.16,21.74,2.04,2.7,0.611,31.82,19.81,,,,1.68,,Q,
-1,464032.6588636,89691.23178799999,59.0,2.0,22.26,0.16,36.17,1.87,2.73,0.988,54.8,32.54,,,,1.37,,N,edH
-62,464524.14329170005,89729.10047759999,83.32,2.0,27.9,0.16,30.69,1.93,2.75,0.862,54.02,26.12,,,,1.48,,N,edH
??26,472098.30106060003,90111.215016,23.85,4.9,16.88,0.17,25.28,2.11,2.71,0.609,39.25,22.37,,,,1.68,,Q,
-6,471906.98386720003,90320.49527039999,18.67,13.2,24.82,0.17,28.07,1.89,2.74,0.857,48.6,23.78,,,,1.48,,Q,L.epI
_ˆ-16,464077.0365631,89691.29603119999,32.8,26.2,23.84,0.17,38.53,1.87,2.82,1.089,58.33,34.49,,,,1.35,,N,edH
-61,464230.5567805,89819.8600584,56.7,2.0,22.65,0.17,37.48,1.86,2.75,1.033,56.39,33.74,,,,1.35,,N,edH
_ˆ-8,468394.2499084,90269.0873264,32.45,11.5,6.4,0.17,19.31,2.05,2.68,0.56,24.63,18.23,,,,1.72,,Q,L.epI
31?,464862.3077363801,89954.44333883999,40.2,0.8,23.97,0.18,28.72,1.86,2.75,0.903,48.31,24.34,,,,1.44,,Q,pH
??2,470901.9067798001,90462.665472,5.6,5.1,9.19,0.18,20.17,1.79,2.69,0.8059999999999999,27.68,18.49,,,,1.49,,Q,L.epIII-H
?ˆ12,464191.8448777,89837.05180639999,46.84,8.0,18.75,0.18,25.51,2.01,2.72,0.698,40.91,22.16,,,,1.6,,Q,edH
?ˆ18,464289.8057902,89760.93565999999,65.9,1.2,17.73,0.18,32.16,1.85,2.71,0.9359999999999999,46.62,28.89,,,,1.4,,Q,edH
-1,471894.90233380004,90330.2481912,-8.65,37.5,19.38,0.18,26.67,2.02,2.73,0.7120000000000001,42.53,23.15,,,,1.59,,Q,L.epI
-6,471906.98386720003,90320.49527039999,26.97,4.9,7.36,0.18,17.56,1.8,2.69,0.757,23.57,16.21,,,,1.53,,Q,L.epI
_ˆ-15,464070.4220923001,89689.14789919999,17.6,44.8,33.24,0.18,32.35,1.89,2.76,0.9329999999999999,59.61,26.37,,,,1.43,,N,edH
-56,472066.16613160004,90087.0060368,22.8,4.0,15.58,0.18,23.92,2.02,2.71,0.662,36.67,21.09,,,,1.63,,Q,L.epIII-H
27?,465145.55519977,90110.90865624,30.0,6.4,21.31,0.19,27.15,1.96,2.75,0.784,44.42,23.11,,,,1.54,,Q,L.epI
??25,472082.4660775,90112.06088479998,24.9,5.0,13.28,0.19,23.18,2.12,2.71,0.575,33.97,20.69,,,,1.72,,Q,
_ˆ-14,464118.4445002,89707.25377439999,37.4,25.6,34.94,0.19,34.57,1.88,2.76,0.976,62.8,27.86,,,,1.4,,N,edH
_ˆ-7,466190.41997890006,90185.23924319999,15.2,21.7,14.95,0.19,23.43,2.01,2.71,0.664,35.49,20.54,,,,1.63,,Q,pH
-2,464547.29393950006,89843.5269856,56.85,2.5,23.89,0.19,27.66,1.91,2.74,0.831,47.04,23.15,,,,1.5,,Q,pH
-3,464736.13258120004,89871.5169448,49.87,0.5,25.84,0.19,31.23,1.89,2.75,0.909,52.16,26.32,,,,1.44,,N,edH
-5,464823.31685590005,89912.201628,39.71,5.0,17.25,0.19,26.22,1.81,2.72,0.897,40.12,22.87,,,,1.43,,Q,edH
14?,467864.56728640007,90269.5731656,30.8,6.1,12.19,0.2,21.73,2.04,2.7,0.611,31.53,19.34,,,,1.68,,Q,L.epI
19?,466276.43809690006,90187.52124196799,26.6,8.5,14.5,0.2,24.34,2.0,2.71,0.685,35.87,21.37,,,,1.61,,Q,L.epI
1?,472125.32889820007,90245.6224976,20.8,3.3,8.72,0.2,20.83,2.06,2.69,0.578,27.84,19.12,,,,1.7,,Q,
?ˆ12,472159.5186628,90283.6116432,27.2,3.8,47.98,0.2,48.32,1.71,2.75,1.385,86.6,38.62,,,,1.15,,N,
?ˆ2,471820.16706310003,90227.34798399999,55.25,1.0,17.13,0.2,25.24,1.94,2.73,0.762,38.97,21.84,,,,1.55,,Q,edH
??11,471932.9692882,90286.665872,37.95,5.8,28.37,0.2,47.33,1.74,2.75,1.328,70.13,41.76,,,,1.18,,N,edH
?ˆ-2,464406.8076793,89788.5749584,58.7,6.5,16.92,0.2,44.7,1.71,2.71,1.2930000000000001,58.18,41.26,,,,1.18,,N,edH
?ˆ-2,464406.8076793,89788.5749584,55.8,9.4,22.81,0.2,50.23,1.7,2.75,1.43,68.48,45.67,,,,1.13,,N,edH
?ˆ16,464327.08155790006,89788.8694064,64.5,2.5,21.75,0.2,27.56,1.95,2.73,0.7859999999999999,44.87,23.12,,,,1.53,,Q,edH
-57,472075.91535160004,90085.85768959999,24.1,2.0,14.78,0.2,23.14,2.04,2.71,0.636,34.97,20.19,,,,1.66,,Q,L.epIII-H
?ˆ12,464191.8448777,89837.05180639999,49.84,5.0,22.99,0.21,28.58,,2.75,,46.73,23.74,,,,,,,edH
_ˆ-1,467404.0741288001,90289.5461088,1.16,33.0,18.99,0.21,26.25,2.0,2.73,0.723,41.33,22.34,,,,1.58,,Q,pH
_ˆ-9,466203.6714187,90184.0039,20.9,14.9,11.79,0.21,22.29,1.92,2.7,0.72,31.57,19.78,,,,1.57,,Q,pH
11?,468610.95557056007,90258.85092198399,42.7,3.8,18.06,0.22,27.29,1.88,2.72,0.8420000000000001,41.38,23.32,,,,1.48,,Q,L.epI
??18,472032.2425957,90309.67430639999,30.61,3.8,17.47,0.22,26.56,2.02,2.73,0.71,40.14,22.67,,,,1.6,,Q,
_ˆ-3,467425.04620090005,90289.15797279999,20.09,7.0,18.39,0.22,26.34,2.03,2.78,0.73,40.75,22.36,,,,1.61,,Q,pH
-9,465057.8755897,90093.0877264,33.7,1.0,41.07,0.22,21.97,1.96,2.78,0.73,53.91,12.84,,,,1.61,,N,L.epI
3,472435.24160320003,89864.59607839999,12.65,7.5,19.37,0.23,26.87,1.96,,,41.76,22.39,,,,1.54,,,L.epIII-H
28?,465043.00202968006,90089.24350699999,28.95,3.0,11.26,0.23,21.54,2.0,2.71,0.647,30.2,18.94,,,,1.65,,Q,L.epI
?ˆ5,471825.5066359,90188.3349624,76.75,3.7,49.88,0.23,44.5,1.74,2.75,1.284,82.94,33.06,,,,1.2,,N,edH
?ˆ-17,471936.4940062,90019.28433519999,25.03,10.0,22.04,0.23,36.28,1.79,2.73,1.078,53.22,31.18,,,,1.31,,N,L.epII
?ˆ-21,472190.888653,90034.57153999999,24.1,1.0,18.84,0.23,27.58,1.97,2.72,0.762,42.16,23.32,,,,1.54,,Q,L.epIII-H
-24,471907.2388468,90343.8583808,-1.69,23.7,7.03,0.23,18.7,2.06,2.69,0.55,24.1,17.07,,,,1.74,,Q,L.epII
_ˆ-15,464070.4220923001,89689.14789919999,19.7,42.7,26.05,0.23,31.25,1.94,2.78,0.8809999999999999,51.25,25.2,,,,1.48,,N,edH
_ˆ-17,464086.2983221,89694.46134719999,44.64,13.7,23.34,0.23,39.78,1.83,2.76,1.1079999999999999,57.78,34.44,,,,1.31,,N,edH
_ˆ-18,464092.59406840004,89696.72725839999,46.0,16.3,23.31,0.23,40.59,1.81,2.74,1.128,58.55,35.24,,,,1.29,,N,edH
-1,464175.2412061,89734.93054799999,53.1,0.8,24.66,0.23,29.95,1.95,2.74,0.826,49.03,24.37,,,,1.5,,Q,edH
-1,464175.2412061,89734.93054799999,48.9,5.0,26.02,0.23,40.98,1.76,2.75,1.203,60.96,34.94,,,,1.25,,N,edH
3,472435.24160320003,89864.59607839999,16.75,3.4,27.72,0.24,56.67,,,,77.72,50.0,,,,,,,L.epIII-H
34,463768.7062315,89565.35259119999,49.14,12.6,13.29,0.24,23.23,2.03,2.7,0.639,33.27,19.98,,,,1.65,,Q,edH
?-3,462466.0192048001,89533.07038319999,27.71,13.1,8.75,0.24,20.7,,,,27.31,18.56,,,,,,,L.epIII-H
??11,471932.9692882,90286.665872,36.25,7.5,23.76,0.24,41.0,1.87,2.75,1.074,58.94,35.18,,,,1.33,,N,edH
?ˆ-15,471863.00363590004,90010.62087199998,30.68,8.0,13.12,0.24,24.38,1.93,2.7,0.74,34.31,21.19,,,,1.55,,Q,L.epI
?ˆ-8,471854.68305160006,90376.27978239999,13.6,0.9,13.01,0.24,22.36,1.71,2.71,0.9390000000000001,32.19,19.18,,,,1.4,,Q,L.epII
?ˆ6,472020.91850170004,90079.6836504,25.7,4.5,27.18,0.24,43.43,1.81,2.77,1.195,64.04,36.86,,,,1.26,,N,L.epIII-H
?ˆ6,472020.91850170004,90079.6836504,20.2,10.0,29.76,0.24,37.37,1.79,2.76,1.1179999999999999,60.08,30.32,,,,1.3,,N,L.epIII-H
-59,464297.2526944,89758.0192864,59.9,5.0,27.2,0.24,47.43,1.76,2.75,1.304,68.08,40.88,,,,1.19,,N,edH
-60,464303.8109197,89756.11742,64.7,2.0,36.86,0.24,42.0,1.7,2.77,1.314,70.13,33.27,,,,1.2,,N,edH
_ˆ-21,465410.5123765,90132.0177672,26.83,6.3,8.12,0.24,21.15,2.12,2.71,0.5489999999999999,27.29,19.17,,,,1.75,,Q,pH
_ˆ-24,464198.86056640005,89728.9639608,56.63,1.6,47.02,0.24,45.77,1.58,2.8,1.5830000000000002,81.44,34.42,,26.95,,1.08,,N,edH
29?,464990.38586431,90075.38157774399,25.1,6.8,8.66,0.25,20.92,2.02,2.69,0.61,27.45,18.79,,,,1.67,,Q,pH
31?,464862.3077363801,89954.44333883999,34.0,7.0,24.07,0.25,40.38,1.85,2.78,1.109,58.42,34.35,,,,1.32,,N,pH
?ˆ4,471823.72552840004,90201.3468872,65.8,3.7,46.24,0.25,48.45,1.66,2.75,1.459,82.91,36.67,,,,1.12,,N,edH
??23,472024.4282209,90115.11377519999,35.25,1.7,31.14,0.25,31.9,1.81,2.75,1.004,55.28,24.14,,,,1.37,,N,
??4,471882.0108652,90412.72173759999,7.6,0.8,12.2,0.25,24.17,1.75,2.71,0.9229999999999999,33.29,21.09,,,,1.41,,Q,L.epIII-H
?ˆ-6,471056.9906221,90397.02096719999,12.35,5.8,11.34,0.25,23.06,1.51,2.71,1.209,31.51,20.17,,,,1.23,,Q,L.epII
?ˆ19,464309.2629835,89754.2409832,66.0,3.0,26.75,0.25,54.59,1.7,2.76,1.51,74.57,47.82,,,,1.1,,N,edH
?ˆ3,472053.9571084,90194.7231456,30.0,5.0,42.73,0.25,47.01,1.72,2.77,1.368,79.09,36.36,,,,1.17,,N,
_ˆ-10,466207.9685749,90183.997208,23.7,12.3,23.83,0.25,29.53,1.98,2.78,0.8190000000000001,47.52,23.69,,,,1.53,,Q,pH
_ˆ-18,464092.59406840004,89696.72725839999,38.9,23.4,22.59,0.25,29.26,1.98,2.77,0.8079999999999999,46.3,23.71,,,,1.53,,Q,edH
_ˆ-3,467425.04620090005,90289.15797279999,11.59,15.5,26.98,0.25,31.88,1.9,2.75,0.909,52.09,25.11,,,,1.44,,N,pH
_ˆ-8,466194.7771303,90184.01728399999,16.52,20.0,16.9,0.25,23.69,2.05,2.74,0.653,36.42,19.52,,,,1.66,,Q,pH
-61,464230.5567805,89819.8600584,55.2,3.5,34.91,0.25,40.95,1.82,2.76,1.137,67.05,32.14,,,,1.29,,N,edH
?-23,472735.22510260006,89881.9765408,19.34,0.8,18.44,0.25,26.48,,2.73,,40.33,21.89,,,,,,,L.epIII-H
4,472435.2791002,89871.9238184,21.08,0.0,21.35,0.26,27.4,,,,43.24,21.89,,,,,,,L.epIII-H
16?,467205.10492261,90276.57248900799,27.3,9.0,4.87,0.26,18.67,,2.67,,22.29,17.42,,,,,,,L.epII
?ˆ17,464367.3495862,89774.95539999999,64.4,2.0,22.63,0.26,29.97,1.92,2.73,0.848,46.66,24.03,,,,1.48,,Q,edH
-12,471945.01707430003,90296.3652568,40.5,1.0,28.19,0.26,30.66,1.93,2.75,0.862,51.64,23.45,,,,1.48,,N,L.epI
-34,464322.83689750003,89790.1087648,30.5,35.1,29.67,0.26,39.19,1.79,2.75,1.138,61.23,31.56,,,,1.29,,N,edH
_ˆ-15,464070.4220923001,89689.14789919999,32.4,30.0,35.66,0.26,36.9,1.79,2.76,1.111,63.34,27.68,,,,1.31,,N,edH
-2,464049.89623450005,89700.95124879999,58.2,2.0,37.79,0.26,44.11,1.65,2.78,1.4280000000000002,72.25,34.46,,,,1.14,,N,edH
31?,464862.3077363801,89954.44333883999,32.0,9.0,26.14,0.27,39.28,1.84,2.75,1.082,58.46,32.32,,,,1.32,,N,pH
?ˆ1,472001.5475515,90253.2272864,29.1,4.0,28.06,0.27,33.88,1.94,2.77,0.912,54.38,26.32,,,,1.45,,N,
?ˆ21,464482.55911870004,89738.32205359999,82.0,3.0,58.3,0.27,43.68,1.8,2.78,1.219,86.44,28.14,,,,1.25,,N,edH
