skv,X,Y,Z,H,Ip,Il,W,r,rs,e,WL,Wp,jn,E12mk.w,jw,rd,d0.3,cluster,qname
6,472494.55435780005,89869.7997776,13.0,8.0,10.9,0.36,23.0,1.9,2.69,0.741,30.0,19.1,,,21.31,1.54,,Q,L.epIII-H
5,472494.1981363,89863.9937984,13.0,8.0,8.1,0.47,22.03,1.92,2.69,0.71,26.3,18.2,,,21.33,1.57,,Q,L.epIII-H
18,472997.786596,89870.10359439999,8.32,12.0,10.7,0.5,23.8,1.88,2.69,0.7709999999999999,29.2,18.5,,,23.3,1.52,,Q,L.epIII-H
19,473110.2251002,89863.7100576,6.4,11.0,10.0,0.5,23.0,1.92,2.69,0.723,28.0,18.0,,,21.1,1.56,,Q,L.epIII-H
11,472660.2611002,89864.02725839999,6.9,12.0,8.89,0.59,24.7,1.93,2.7,0.745,28.36,19.47,,,18.33,1.55,,Q,L.epIII-H
14,472772.78209780005,89870.8343608,9.53,11.0,8.47,0.62,23.55,1.98,2.69,0.679,26.79,18.32,,,18.26,1.6,,Q,L.epIII-H
11,472660.2611002,89864.02725839999,5.1,13.8,8.0,0.63,27.0,1.93,2.7,0.777,30.0,22.0,,,21.05,1.52,,Q,L.epIII-H
21,472496.16672880005,89881.8293168,9.6,12.0,9.87,0.65,25.33,1.93,2.69,0.747,28.76,18.89,,,18.26,1.54,,Q,L.epIII-H
21,472496.16672880005,89881.8293168,11.6,10.0,8.72,0.67,25.15,1.89,2.69,0.7809999999999999,28.04,19.32,,,19.54,1.51,,Q,L.epIII-H
12,472660.2611002,89871.21982,9.21,10.0,8.6,0.7,23.7,1.83,2.69,0.818,26.3,17.7,,,22.29,1.48,,Q,L.epIII-H
11,472660.2611002,89864.02725839999,8.9,10.0,8.8,0.72,25.3,1.93,2.69,0.746,27.8,19.0,,,19.3,1.54,,Q,L.epIII-H
4,472435.2791002,89871.9238184,10.08,11.0,9.34,0.73,25.08,1.99,2.69,0.691,27.57,18.23,,,18.26,1.59,,Q,L.epIII-H
4,472435.2791002,89871.9238184,9.08,12.0,8.47,0.77,24.8,1.95,2.69,0.722,26.72,18.25,,,17.74,1.56,,Q,L.epIII-H
17,472997.7341002,89862.48274479999,7.6,12.0,8.84,0.82,24.29,1.87,2.69,0.7879999999999999,25.88,17.04,,,18.26,1.5,,Q,L.epIII-H
14,472772.78209780005,89870.8343608,8.53,12.0,8.23,0.83,24.38,2.02,2.69,0.6559999999999999,25.81,17.58,,,17.22,1.62,,Q,L.epIII-H
